10km,15km,20km,25km,30km
4809371.699161984,3517210.974390885,3299013.7913199775,3333082.6597980917,2472923.8405522583
4800816.135070076,3520715.9299753923,3152388.124117924,2703454.9523875685,2491919.009092628
5024550.969756532,1903108.8836642997,2117761.1604239196,2812849.4216061826,2411888.223617905
3597637.458209655,3506333.8407492624,3205153.287998916,2741989.932831314,2459777.866763996
4762856.650333566,2674452.285882905,3183776.0760657387,2700290.7148007806,3170326.058478977
4759905.232547104,3500452.1569552002,3281112.483593231,2705953.001571693,2469953.586852383
4755849.136262249,3494470.2317688456,3196065.490466771,2743908.304752413,2411580.6795862704
2482196.2678220756,3501922.6448493893,3264125.50037754,2656996.7110962076,2437683.4111105483
4753013.412523461,3636734.9493367616,3139791.645074089,2651420.9658097522,3302662.868278972
4750156.697118822,3469642.6075395504,3265596.0877104374,3431952.747653814,1439214.6501436133
4741868.310823435,2289058.755742088,4038762.0319643463,2694980.7670489126,2188566.4031500765
4715289.085792078,3525994.533472399,3243679.712422472,2636781.255456208,2016105.7454855286
2470088.5296278396,3504262.807118729,3252931.570395994,2692521.81096518,1438628.2539939717
4730961.943479646,3611126.809466899,3279468.7015678682,3563766.656399237,2858927.0432780855
4711948.567876859,3523274.550044235,3112275.7461623736,1520436.9973552462,2335077.278863644
4480791.026608669,3594203.2735096333,3148666.964185553,2426462.310916563,2971240.7169861454
4696478.705787297,3456783.8419931172,3252781.956892552,2265456.0737278317,2129884.3508136095
4698234.444651558,3594166.066270783,3170772.553163938,1519999.8557615574,2403230.90148227
2467829.210952347,4407804.027763033,2210516.9899824387,3086684.306163179,2381351.335426551
4689105.838797012,3571854.655539611,3223642.682773189,2580559.673918505,1908006.0399462755
4679143.289251101,3580322.13101442,3103989.0673300596,3199970.6243856,2297471.7115328093
3342646.6444337536,3610553.770486004,2374899.493504708,2367127.297837066,1291274.871604799
4670502.6210324615,3426001.5165535607,3753808.358612163,2638713.7614638703,1417747.1386933946
4663135.908195413,3464415.068826383,3156505.615960577,2622101.279797464,2283811.6959769404
4671705.268860228,3587560.8486554665,3249525.4321686854,2147073.3842377043,1409999.5582905419
4859612.734228742,3491260.4451726982,3189723.97894195,2156960.866782833,3885463.6971472474
4629763.385896988,2397505.281230643,3132790.6243718476,2508377.132061126,2265598.5748487017
2863725.536304754,3549923.603181355,3131663.789441744,1399997.5827139516,2295914.778614151
4690497.609620797,3417160.7649564254,3151704.014307996,1497798.1220217315,1860782.1072790236
4649111.251422765,2588750.7661480876,3184340.762421393,2501684.189131281,2267365.476085321
4826257.908150079,4100125.576490961,3074619.0120499013,1489371.895884068,2032750.6638358212
4704609.6923037255,3479255.4234024487,2943810.1225399645,4205415.438538792,2353278.4375019073
4808929.530191519,3581345.7332489267,3861327.19327978,2496798.96186849,1839124.2048866707
